frame,time,label
0,0.0,happy
1,0.03333333333333333,happy
2,0.06666666666666667,happy
3,0.1,happy
4,0.13333333333333333,happy
5,0.16666666666666666,happy
6,0.2,happy
7,0.23333333333333334,happy
8,0.26666666666666666,happy
9,0.3,happy
10,0.3333333333333333,happy
11,0.36666666666666664,happy
12,0.4,happy
13,0.43333333333333335,happy
14,0.4666666666666667,happy
15,0.5,happy
16,0.5333333333333333,happy
17,0.5666666666666667,happy
18,0.6,happy
19,0.6333333333333333,happy
20,0.6666666666666666,happy
21,0.7,happy
22,0.7333333333333333,happy
23,0.7666666666666667,happy
24,0.8,happy
25,0.8333333333333334,happy
26,0.8666666666666667,happy
27,0.9,happy
28,0.9333333333333333,happy
29,0.9666666666666667,happy
30,1.0,happy
31,1.0333333333333334,happy
32,1.0666666666666667,happy
33,1.1,happy
34,1.1333333333333333,happy
35,1.1666666666666667,happy
36,1.2,happy
37,1.2333333333333334,happy
38,1.2666666666666666,happy
39,1.3,happy
40,1.3333333333333333,happy
41,1.3666666666666667,happy
42,1.4,happy
43,1.4333333333333333,happy
44,1.4666666666666666,happy
45,1.5,happy
46,1.5333333333333334,happy
47,1.5666666666666667,happy
48,1.6,happy
49,1.6333333333333333,happy
50,1.6666666666666667,happy
51,1.7,happy
52,1.7333333333333334,happy
53,1.7666666666666666,happy
54,1.8,happy
55,1.8333333333333333,happy
56,1.8666666666666667,happy
57,1.9,happy
58,1.9333333333333333,happy
59,1.9666666666666666,happy
60,2.0,happy
61,2.033333333333333,happy
62,2.066666666666667,happy
63,2.1,happy
64,2.1333333333333333,happy
65,2.1666666666666665,happy
66,2.2,happy
67,2.2333333333333334,happy
68,2.2666666666666666,happy
69,2.3,happy
70,2.3333333333333335,happy
71,2.3666666666666667,happy
72,2.4,happy
73,2.433333333333333,happy
74,2.466666666666667,happy
75,2.5,happy
76,2.533333333333333,happy
77,2.566666666666667,happy
78,2.6,happy
79,2.6333333333333333,happy
80,2.6666666666666665,happy
81,2.7,happy
82,2.7333333333333334,happy
83,2.7666666666666666,happy
84,2.8,happy
85,2.8333333333333335,happy
86,2.8666666666666667,happy
87,2.9,happy
88,2.933333333333333,happy
89,2.966666666666667,happy
90,3.0,happy
91,3.033333333333333,happy
92,3.066666666666667,happy
93,3.1,happy
94,3.1333333333333333,happy
95,3.1666666666666665,happy
96,3.2,happy
97,3.2333333333333334,happy
98,3.2666666666666666,happy
99,3.3,happy
100,3.3333333333333335,happy
101,3.3666666666666667,happy
102,3.4,happy
103,3.433333333333333,happy
104,3.466666666666667,happy
105,3.5,happy
106,3.533333333333333,happy
107,3.566666666666667,happy
108,3.6,happy
109,3.6333333333333333,happy
110,3.6666666666666665,happy
111,3.7,happy
112,3.7333333333333334,happy
113,3.7666666666666666,happy
114,3.8,happy
115,3.8333333333333335,happy
116,3.8666666666666667,happy
117,3.9,happy
118,3.933333333333333,happy
119,3.966666666666667,happy
120,4.0,happy
121,4.033333333333333,happy
122,4.066666666666666,happy
123,4.1,happy
124,4.133333333333334,happy
125,4.166666666666667,happy
126,4.2,happy
127,4.233333333333333,happy
128,4.266666666666667,happy
129,4.3,happy
130,4.333333333333333,happy
131,4.366666666666666,happy
132,4.4,happy
133,4.433333333333334,happy
134,4.466666666666667,happy
135,4.5,happy
136,4.533333333333333,happy
137,4.566666666666666,happy
138,4.6,happy
139,4.633333333333334,happy
140,4.666666666666667,happy
141,4.7,happy
142,4.733333333333333,happy
143,4.766666666666667,happy
144,4.8,happy
145,4.833333333333333,happy
146,4.866666666666666,happy
147,4.9,happy
148,4.933333333333334,happy
149,4.966666666666667,happy
150,5.0,happy
151,5.033333333333333,happy
152,5.066666666666666,happy
153,5.1,happy
154,5.133333333333334,happy
155,5.166666666666667,happy
156,5.2,happy
157,5.233333333333333,happy
158,5.266666666666667,happy
159,5.3,happy
160,5.333333333333333,happy
161,5.366666666666666,distressed
162,5.4,distressed
163,5.433333333333334,distressed
164,5.466666666666667,distressed
165,5.5,distressed
166,5.533333333333333,distressed
167,5.566666666666666,distressed
168,5.6,distressed
169,5.633333333333334,distressed
170,5.666666666666667,distressed
171,5.7,distressed
172,5.733333333333333,distressed
173,5.766666666666667,distressed
174,5.8,distressed
175,5.833333333333333,distressed
176,5.866666666666666,distressed
177,5.9,distressed
178,5.933333333333334,distressed
179,5.966666666666667,distressed
180,6.0,distressed
181,6.033333333333333,distressed
182,6.066666666666666,distressed
183,6.1,distressed
184,6.133333333333334,distressed
185,6.166666666666667,distressed
186,6.2,distressed
187,6.233333333333333,distressed
188,6.266666666666667,distressed
189,6.3,distressed
190,6.333333333333333,distressed
191,6.366666666666666,distressed
192,6.4,distressed
193,6.433333333333334,distressed
194,6.466666666666667,distressed
195,6.5,distressed
196,6.533333333333333,distressed
197,6.566666666666666,distressed
198,6.6,distressed
199,6.633333333333334,distressed
200,6.666666666666667,distressed
201,6.7,distressed
202,6.733333333333333,distressed
203,6.766666666666667,distressed
204,6.8,distressed
205,6.833333333333333,distressed
206,6.866666666666666,distressed
207,6.9,distressed
208,6.933333333333334,neutral
209,6.966666666666667,happy
210,7.0,happy
211,7.033333333333333,happy
212,7.066666666666666,happy
213,7.1,happy
214,7.133333333333334,happy
215,7.166666666666667,happy
216,7.2,happy
217,7.233333333333333,happy
218,7.266666666666667,happy
219,7.3,happy
220,7.333333333333333,happy
221,7.366666666666666,happy
222,7.4,happy
223,7.433333333333334,happy
224,7.466666666666667,happy
225,7.5,happy
226,7.533333333333333,happy
227,7.566666666666666,happy
228,7.6,happy
